colour	y	x	group	clickSelects	showSelected1	PANEL
#0000FF	-0.530821446368894	1	1	1	featureless	1
#0000FF	-0.525031683027952	1.25527250510331	1	1	featureless	1
#0000FF	-0.516387312787682	1.51851393987789	1	1	featureless	1
#0000FF	-0.492813523816576	1.77815125038364	1	1	featureless	1
#0000FF	-0.530745586056231	2.04139268515823	1	1	featureless	1
#0000FF	-0.529310424909481	2.30102999566398	1	1	featureless	1
#0000FF	-0.487118704914463	1	2	2	featureless	1
#0000FF	-0.501256786566789	1.25527250510331	2	2	featureless	1
#0000FF	-0.531842752033976	1.51851393987789	2	2	featureless	1
#0000FF	-0.529742415388556	1.77815125038364	2	2	featureless	1
#0000FF	-0.531460378313565	2.04139268515823	2	2	featureless	1
#0000FF	-0.529310424909481	2.30102999566398	2	2	featureless	1
#0000FF	-0.511224430730094	1	3	3	featureless	1
#0000FF	-0.501701300077693	1.25527250510331	3	3	featureless	1
#0000FF	-0.512937308655436	1.51851393987789	3	3	featureless	1
#0000FF	-0.525786721962017	1.77815125038364	3	3	featureless	1
#0000FF	-0.531483540267032	2.04139268515823	3	3	featureless	1
#0000FF	-0.529310424909481	2.30102999566398	3	3	featureless	1
#FF0000	-0.530821446368894	1	4	1	rpart	1
#FF0000	-0.525031683027952	1.25527250510331	4	1	rpart	1
#FF0000	-0.475336351624108	1.51851393987789	4	1	rpart	1
#FF0000	-0.450569145242042	1.77815125038364	4	1	rpart	1
#FF0000	-0.441078479393204	2.04139268515823	4	1	rpart	1
#FF0000	-0.467609375172822	2.30102999566398	4	1	rpart	1
#FF0000	-0.487118704914463	1	5	2	rpart	1
#FF0000	-0.501256786566789	1.25527250510331	5	2	rpart	1
#FF0000	-0.463262220525559	1.51851393987789	5	2	rpart	1
#FF0000	-0.426162468907241	1.77815125038364	5	2	rpart	1
#FF0000	-0.457161108812706	2.04139268515823	5	2	rpart	1
#FF0000	-0.467609375172822	2.30102999566398	5	2	rpart	1
#FF0000	-0.511224430730094	1	6	3	rpart	1
#FF0000	-0.501701300077693	1.25527250510331	6	3	rpart	1
#FF0000	-0.478963143003652	1.51851393987789	6	3	rpart	1
#FF0000	-0.466738235716472	1.77815125038364	6	3	rpart	1
#FF0000	-0.465982932056427	2.04139268515823	6	3	rpart	1
#FF0000	-0.467609375172822	2.30102999566398	6	3	rpart	1
#0000FF	-0.142788246354299	1	1	1	featureless	2
#0000FF	-0.117102468535744	1.25527250510331	1	1	featureless	2
#0000FF	-0.142764830340837	1.51851393987789	1	1	featureless	2
#0000FF	-0.0963271707121852	1.77815125038364	1	1	featureless	2
#0000FF	-0.128014979168045	2.04139268515823	1	1	featureless	2
#0000FF	-0.15577858231659	2.30102999566398	1	1	featureless	2
#0000FF	-0.161063195594166	1	2	2	featureless	2
#0000FF	-0.161174076999606	1.25527250510331	2	2	featureless	2
#0000FF	-0.156981041584283	1.51851393987789	2	2	featureless	2
#0000FF	-0.156253697448381	1.77815125038364	2	2	featureless	2
#0000FF	-0.140980635821846	2.04139268515823	2	2	featureless	2
#0000FF	-0.15577858231659	2.30102999566398	2	2	featureless	2
#0000FF	-0.0731738220089348	1	3	3	featureless	2
#0000FF	-0.125138979652405	1.25527250510331	3	3	featureless	2
#0000FF	-0.13999384099977	1.51851393987789	3	3	featureless	2
#0000FF	-0.148123425571538	1.77815125038364	3	3	featureless	2
#0000FF	-0.153542521579883	2.04139268515823	3	3	featureless	2
#0000FF	-0.15577858231659	2.30102999566398	3	3	featureless	2
#FF0000	-0.142788246354299	1	4	1	rpart	2
#FF0000	-0.117102468535744	1.25527250510331	4	1	rpart	2
#FF0000	-0.193884056748315	1.51851393987789	4	1	rpart	2
#FF0000	-0.10946812794687	1.77815125038364	4	1	rpart	2
#FF0000	-0.422499199719629	2.04139268515823	4	1	rpart	2
#FF0000	-0.536779274637556	2.30102999566398	4	1	rpart	2
#FF0000	-0.161063195594166	1	5	2	rpart	2
#FF0000	-0.161174076999606	1.25527250510331	5	2	rpart	2
#FF0000	-0.164677957043366	1.51851393987789	5	2	rpart	2
#FF0000	-0.234040550517525	1.77815125038364	5	2	rpart	2
#FF0000	-0.514253504016388	2.04139268515823	5	2	rpart	2
#FF0000	-0.536779274637556	2.30102999566398	5	2	rpart	2
#FF0000	-0.0731738220089348	1	6	3	rpart	2
#FF0000	-0.125138979652405	1.25527250510331	6	3	rpart	2
#FF0000	-0.0520890368636001	1.51851393987789	6	3	rpart	2
#FF0000	-0.186557381883749	1.77815125038364	6	3	rpart	2
#FF0000	-0.391808358654563	2.04139268515823	6	3	rpart	2
#FF0000	-0.536779274637556	2.30102999566398	6	3	rpart	2
#0000FF	-0.507151088835702	1	1	1	featureless	3
#0000FF	-0.535870537931784	1.25527250510331	1	1	featureless	3
#0000FF	-0.548494308440656	1.51851393987789	1	1	featureless	3
#0000FF	-0.556349965375086	1.77815125038364	1	1	featureless	3
#0000FF	-0.562633727912916	2.04139268515823	1	1	featureless	3
#0000FF	-0.568238368224343	2.30102999566398	1	1	featureless	3
#0000FF	-0.561659463397819	1	2	2	featureless	3
#0000FF	-0.568340304078447	1.25527250510331	2	2	featureless	3
#0000FF	-0.553471270440018	1.51851393987789	2	2	featureless	3
#0000FF	-0.568199450949895	1.77815125038364	2	2	featureless	3
#0000FF	-0.564646545202836	2.04139268515823	2	2	featureless	3
#0000FF	-0.568238368224343	2.30102999566398	2	2	featureless	3
#0000FF	-0.570700160120189	1	3	3	featureless	3
#0000FF	-0.525174340170262	1.25527250510331	3	3	featureless	3
#0000FF	-0.567311096413315	1.51851393987789	3	3	featureless	3
#0000FF	-0.570662861200576	1.77815125038364	3	3	featureless	3
#0000FF	-0.570929492084772	2.04139268515823	3	3	featureless	3
#0000FF	-0.568238368224343	2.30102999566398	3	3	featureless	3
#FF0000	-0.507151088835702	1	4	1	rpart	3
#FF0000	-0.535870537931784	1.25527250510331	4	1	rpart	3
#FF0000	-0.512776942225464	1.51851393987789	4	1	rpart	3
#FF0000	-0.459023000309809	1.77815125038364	4	1	rpart	3
#FF0000	-0.476057029509228	2.04139268515823	4	1	rpart	3
#FF0000	-0.469834616529179	2.30102999566398	4	1	rpart	3
#FF0000	-0.561659463397819	1	5	2	rpart	3
#FF0000	-0.568340304078447	1.25527250510331	5	2	rpart	3
#FF0000	-0.504904974850161	1.51851393987789	5	2	rpart	3
#FF0000	-0.513927094174676	1.77815125038364	5	2	rpart	3
#FF0000	-0.485789890487701	2.04139268515823	5	2	rpart	3
#FF0000	-0.469834616529179	2.30102999566398	5	2	rpart	3
#FF0000	-0.570700160120189	1	6	3	rpart	3
#FF0000	-0.525174340170262	1.25527250510331	6	3	rpart	3
#FF0000	-0.448897814976003	1.51851393987789	6	3	rpart	3
#FF0000	-0.535309099925724	1.77815125038364	6	3	rpart	3
#FF0000	-0.514604352432277	2.04139268515823	6	3	rpart	3
#FF0000	-0.469834616529179	2.30102999566398	6	3	rpart	3
#0000FF	-0.0914257451519357	1	1	1	featureless	4
#0000FF	-0.0739183946489904	1.25527250510331	1	1	featureless	4
#0000FF	-0.0613803126712756	1.51851393987789	1	1	featureless	4
#0000FF	-0.0749291480976552	1.77815125038364	1	1	featureless	4
#0000FF	-0.0880055867190657	2.04139268515823	1	1	featureless	4
#0000FF	-0.0852029750279383	2.30102999566398	1	1	featureless	4
#0000FF	-0.0854858506893912	1	2	2	featureless	4
#0000FF	0.00461986009575596	1.25527250510331	2	2	featureless	4
#0000FF	-0.0254558884287353	1.51851393987789	2	2	featureless	4
#0000FF	-0.0955680040789765	1.77815125038364	2	2	featureless	4
#0000FF	-0.0828214855288668	2.04139268515823	2	2	featureless	4
#0000FF	-0.0852029750279383	2.30102999566398	2	2	featureless	4
#0000FF	-0.0527581987348834	1	3	3	featureless	4
#0000FF	-0.0325349043697214	1.25527250510331	3	3	featureless	4
#0000FF	-0.0948707413646316	1.51851393987789	3	3	featureless	4
#0000FF	-0.101611654089246	1.77815125038364	3	3	featureless	4
#0000FF	-0.0940197575050015	2.04139268515823	3	3	featureless	4
#0000FF	-0.0852029750279383	2.30102999566398	3	3	featureless	4
#FF0000	-0.0914257451519357	1	4	1	rpart	4
#FF0000	-0.0739183946489904	1.25527250510331	4	1	rpart	4
#FF0000	-0.0165232641176597	1.51851393987789	4	1	rpart	4
#FF0000	-0.225222771487597	1.77815125038364	4	1	rpart	4
#FF0000	-0.412939590755931	2.04139268515823	4	1	rpart	4
#FF0000	-0.447721181066677	2.30102999566398	4	1	rpart	4
#FF0000	-0.0854858506893912	1	5	2	rpart	4
#FF0000	0.00461986009575596	1.25527250510331	5	2	rpart	4
#FF0000	-0.00702770003660532	1.51851393987789	5	2	rpart	4
#FF0000	-0.293053661592918	1.77815125038364	5	2	rpart	4
#FF0000	-0.310014432281233	2.04139268515823	5	2	rpart	4
#FF0000	-0.447721181066677	2.30102999566398	5	2	rpart	4
#FF0000	-0.0527581987348834	1	6	3	rpart	4
#FF0000	-0.0325349043697214	1.25527250510331	6	3	rpart	4
#FF0000	-0.156139529460873	1.51851393987789	6	3	rpart	4
#FF0000	-0.267385593161432	1.77815125038364	6	3	rpart	4
#FF0000	-0.330757982527912	2.04139268515823	6	3	rpart	4
#FF0000	-0.447721181066677	2.30102999566398	6	3	rpart	4
#0000FF	-0.444957863694433	1	1	1	featureless	5
#0000FF	-0.493212843697765	1.25527250510331	1	1	featureless	5
#0000FF	-0.500759007872755	1.51851393987789	1	1	featureless	5
#0000FF	-0.499163017051487	1.77815125038364	1	1	featureless	5
#0000FF	-0.501295679726931	2.04139268515823	1	1	featureless	5
#0000FF	-0.501522759171867	2.30102999566398	1	1	featureless	5
#0000FF	-0.499560448983671	1	2	2	featureless	5
#0000FF	-0.479509956063626	1.25527250510331	2	2	featureless	5
#0000FF	-0.500495808204605	1.51851393987789	2	2	featureless	5
#0000FF	-0.501362243645379	1.77815125038364	2	2	featureless	5
#0000FF	-0.501505922980151	2.04139268515823	2	2	featureless	5
#0000FF	-0.501522759171867	2.30102999566398	2	2	featureless	5
#0000FF	-0.487462174864131	1	3	3	featureless	5
#0000FF	-0.499411670550671	1.25527250510331	3	3	featureless	5
#0000FF	-0.500617197039048	1.51851393987789	3	3	featureless	5
#0000FF	-0.501112094374242	1.77815125038364	3	3	featureless	5
#0000FF	-0.50125909084502	2.04139268515823	3	3	featureless	5
#0000FF	-0.501522759171867	2.30102999566398	3	3	featureless	5
#FF0000	-0.444957863694433	1	4	1	rpart	5
#FF0000	-0.493212843697765	1.25527250510331	4	1	rpart	5
#FF0000	-0.472735845586422	1.51851393987789	4	1	rpart	5
#FF0000	-0.482427481060923	1.77815125038364	4	1	rpart	5
#FF0000	-0.484850204820387	2.04139268515823	4	1	rpart	5
#FF0000	-0.399854340058355	2.30102999566398	4	1	rpart	5
#FF0000	-0.499560448983671	1	5	2	rpart	5
#FF0000	-0.479509956063626	1.25527250510331	5	2	rpart	5
#FF0000	-0.459378849999955	1.51851393987789	5	2	rpart	5
#FF0000	-0.442872576609639	1.77815125038364	5	2	rpart	5
#FF0000	-0.463329508637924	2.04139268515823	5	2	rpart	5
#FF0000	-0.399854340058355	2.30102999566398	5	2	rpart	5
#FF0000	-0.487462174864131	1	6	3	rpart	5
#FF0000	-0.499411670550671	1.25527250510331	6	3	rpart	5
#FF0000	-0.418519933470681	1.51851393987789	6	3	rpart	5
#FF0000	-0.446681593662846	1.77815125038364	6	3	rpart	5
#FF0000	-0.444262351415408	2.04139268515823	6	3	rpart	5
#FF0000	-0.399854340058355	2.30102999566398	6	3	rpart	5
#0000FF	-0.080453618038023	1	1	1	featureless	6
#0000FF	-0.0693953835379009	1.25527250510331	1	1	featureless	6
#0000FF	-0.0728282505708177	1.51851393987789	1	1	featureless	6
#0000FF	-0.0706572892543253	1.77815125038364	1	1	featureless	6
#0000FF	-0.0735071953906402	2.04139268515823	1	1	featureless	6
#0000FF	-0.07730635457589	2.30102999566398	1	1	featureless	6
#0000FF	-0.0676504868538636	1	2	2	featureless	6
#0000FF	-0.0693371325250506	1.25527250510331	2	2	featureless	6
#0000FF	-0.0345683339885447	1.51851393987789	2	2	featureless	6
#0000FF	-0.0677377362247863	1.77815125038364	2	2	featureless	6
#0000FF	-0.0658685228753342	2.04139268515823	2	2	featureless	6
#0000FF	-0.07730635457589	2.30102999566398	2	2	featureless	6
#0000FF	-0.0768787872326907	1	3	3	featureless	6
#0000FF	-0.0764832824119617	1.25527250510331	3	3	featureless	6
#0000FF	-0.0789310580068918	1.51851393987789	3	3	featureless	6
#0000FF	-0.0805815182681061	1.77815125038364	3	3	featureless	6
#0000FF	-0.0805797702242702	2.04139268515823	3	3	featureless	6
#0000FF	-0.07730635457589	2.30102999566398	3	3	featureless	6
#FF0000	-0.080453618038023	1	4	1	rpart	6
#FF0000	-0.0693953835379009	1.25527250510331	4	1	rpart	6
#FF0000	-0.0996949772327056	1.51851393987789	4	1	rpart	6
#FF0000	-0.296777485427291	1.77815125038364	4	1	rpart	6
#FF0000	-0.288454790911948	2.04139268515823	4	1	rpart	6
#FF0000	-0.333080746685074	2.30102999566398	4	1	rpart	6
#FF0000	-0.0676504868538636	1	5	2	rpart	6
#FF0000	-0.0693371325250506	1.25527250510331	5	2	rpart	6
#FF0000	-0.0646511748048872	1.51851393987789	5	2	rpart	6
#FF0000	-0.237845210427195	1.77815125038364	5	2	rpart	6
#FF0000	-0.276306948340217	2.04139268515823	5	2	rpart	6
#FF0000	-0.333080746685074	2.30102999566398	5	2	rpart	6
#FF0000	-0.0768787872326907	1	6	3	rpart	6
#FF0000	-0.0764832824119617	1.25527250510331	6	3	rpart	6
#FF0000	-0.119917774536707	1.51851393987789	6	3	rpart	6
#FF0000	-0.213627199777644	1.77815125038364	6	3	rpart	6
#FF0000	-0.256776389019468	2.04139268515823	6	3	rpart	6
#FF0000	-0.333080746685074	2.30102999566398	6	3	rpart	6
